value_1,value_2,result,time_stamp,file_path,operation
35,5,40,12/3/2021,./CSV_File/Addition1.csv,addition
1,6,7,12/3/2021,./CSV_File/Addition1.csv,addition
25,31,56,12/3/2021,./CSV_File/Addition1.csv,addition
33,85,118,12/3/2021,./CSV_File/Addition1.csv,addition
88,17,105,12/3/2021,./CSV_File/Addition1.csv,addition
51,61,112,12/3/2021,./CSV_File/Addition1.csv,addition
85,0,85,12/3/2021,./CSV_File/Addition1.csv,addition
100,81,181,12/3/2021,./CSV_File/Addition1.csv,addition
73,26,99,12/3/2021,./CSV_File/Addition1.csv,addition
16,66,82,12/3/2021,./CSV_File/Addition1.csv,addition
