value_1,value_2,result,time_stamp,file_path,operation
68,76,-8,12/3/2021,./CSV_File/Subtraction1.csv,subtraction
91,24,67,12/3/2021,./CSV_File/Subtraction1.csv,subtraction
20,63,-43,12/3/2021,./CSV_File/Subtraction1.csv,subtraction
91,46,45,12/3/2021,./CSV_File/Subtraction1.csv,subtraction
7,46,-39,12/3/2021,./CSV_File/Subtraction1.csv,subtraction
85,66,19,12/3/2021,./CSV_File/Subtraction1.csv,subtraction
24,13,11,12/3/2021,./CSV_File/Subtraction1.csv,subtraction
91,61,30,12/3/2021,./CSV_File/Subtraction1.csv,subtraction
23,60,-37,12/3/2021,./CSV_File/Subtraction1.csv,subtraction
38,87,-49,12/3/2021,./CSV_File/Subtraction1.csv,subtraction
